"","p","n","optRho","variable","FPR","MCE","TPR","Estimated_E","method"
"55",20,1000,0.0415,"V9",0.220858895705521,0.2,0.925925925925926,"E_3","loglikhood"
"56",20,1000,0.0415,"V10",0.196319018404908,0.184210526315789,0.888888888888889,"E_3","loglikhood"
"57",20,1000,0.0415,"V11",0.217647058823529,0.2,0.95,"E_3","loglikhood"
"58",20,1000,0.0415,"V12",0.201183431952663,0.2,0.80952380952381,"E_3","loglikhood"
"59",20,1000,0.0415,"V13",0.215568862275449,0.2,0.91304347826087,"E_3","loglikhood"
"60",20,1000,0.0415,"V14",0.1875,0.173684210526316,1,"E_3","loglikhood"
"61",20,1000,0.0415,"V15",0.221556886227545,0.205263157894737,0.91304347826087,"E_3","loglikhood"
"62",20,1000,0.0415,"V16",0.182857142857143,0.168421052631579,1,"E_3","loglikhood"
"63",20,1000,0.0415,"V17",0.183431952662722,0.173684210526316,0.904761904761905,"E_3","loglikhood"
"64",20,1000,0.0415,"V18",0.161849710982659,0.152631578947368,0.941176470588235,"E_3","loglikhood"
"65",20,1000,0.0415,"V19",0.171597633136095,0.152631578947368,1,"E_3","loglikhood"
"66",20,1000,0.0415,"V20",0.234285714285714,0.226315789473684,0.866666666666667,"E_3","loglikhood"
"67",20,1000,0.0415,"V21",0.14792899408284,0.142105263157895,0.904761904761905,"E_3","loglikhood"
"68",20,1000,0.0415,"V22",0.215116279069767,0.2,0.944444444444444,"E_3","loglikhood"
"69",20,1000,0.0415,"V23",0.161490683229814,0.147368421052632,0.931034482758621,"E_3","loglikhood"
"70",20,1000,0.0415,"V24",0.248484848484848,0.231578947368421,0.88,"E_3","loglikhood"
"71",20,1000,0.0415,"V25",0.211764705882353,0.205263157894737,0.85,"E_3","loglikhood"
"72",20,1000,0.0415,"V26",0.19047619047619,0.168421052631579,1,"E_3","loglikhood"
"73",20,1000,0.0415,"V27",0.190751445086705,0.194736842105263,0.764705882352941,"E_3","loglikhood"
"74",20,1000,0.0415,"V28",0.170731707317073,0.168421052631579,0.846153846153846,"E_3","loglikhood"
"75",20,1000,0.0415,"V29",0.218181818181818,0.189473684210526,1,"E_3","loglikhood"
"76",20,1000,0.0415,"V30",0.211111111111111,0.205263157894737,0.9,"E_3","loglikhood"
"77",20,1000,0.0415,"V31",0.228915662650602,0.2,1,"E_3","loglikhood"
"78",20,1000,0.0415,"V32",0.172413793103448,0.163157894736842,0.9375,"E_3","loglikhood"
"79",20,1000,0.0415,"V33",0.210526315789474,0.2,0.894736842105263,"E_3","loglikhood"
"80",20,1000,0.0415,"V34",0.203488372093023,0.194736842105263,0.888888888888889,"E_3","loglikhood"
"81",20,1000,0.0415,"V35",0.166666666666667,0.168421052631579,0.818181818181818,"E_3","loglikhood"
"82",20,1000,0.0415,"V36",0.138728323699422,0.136842105263158,0.882352941176471,"E_3","loglikhood"
"83",20,1000,0.0415,"V37",0.210843373493976,0.184210526315789,1,"E_3","loglikhood"
"84",20,1000,0.0415,"V38",0.251428571428571,0.242105263157895,0.866666666666667,"E_3","loglikhood"
"85",20,1000,0.0415,"V39",0.195266272189349,0.184210526315789,0.904761904761905,"E_3","loglikhood"
"86",20,1000,0.0415,"V40",0.21264367816092,0.194736842105263,1,"E_3","loglikhood"
"87",20,1000,0.0415,"V41",0.269461077844311,0.236842105263158,1,"E_3","loglikhood"
"88",20,1000,0.0415,"V42",0.206060606060606,0.184210526315789,0.96,"E_3","loglikhood"
"89",20,1000,0.0415,"V43",0.149425287356322,0.142105263157895,0.9375,"E_3","loglikhood"
"90",20,1000,0.0415,"V44",0.203389830508475,0.194736842105263,0.923076923076923,"E_3","loglikhood"
"91",20,1000,0.0415,"V45",0.153846153846154,0.147368421052632,0.904761904761905,"E_3","loglikhood"
"92",20,1000,0.0415,"V46",0.220238095238095,0.2,0.954545454545455,"E_3","loglikhood"
"93",20,1000,0.0415,"V47",0.201219512195122,0.184210526315789,0.923076923076923,"E_3","loglikhood"
"94",20,1000,0.0415,"V48",0.134146341463415,0.131578947368421,0.884615384615385,"E_3","loglikhood"
"95",20,1000,0.0415,"V49",0.184971098265896,0.173684210526316,0.941176470588235,"E_3","loglikhood"
"96",20,1000,0.0415,"V50",0.222222222222222,0.2,1,"E_3","loglikhood"
"97",20,1000,0.0415,"V51",0.177514792899408,0.157894736842105,1,"E_3","loglikhood"
