"","X20.100","X20.1000","X20.10000"
"1",0.15,0.057,0.014
"2",0.172,0.045,0.012
"3",0.147,0.05,0.012
"4",0.198,0.048,0.012
"5",0.205,0.042,0.016
"6",0.198,0.039,0.014
"7",0.187,0.044,0.009
"8",0.254,0.047,0.015
"9",0.173,0.053,0.011
"10",0.168,0.056,0.015
"11",0.207,0.053,0.014
"12",0.157,0.042,0.015
"13",0.222,0.044,0.013
"14",0.211,0.056,0.012
"15",0.197,0.064,0.014
"16",0.2,0.063,0.011
"17",0.223,0.059,0.015
"18",0.23,0.037,0.012
"19",0.19,0.063,0.014
"20",0.176,0.049,0.014
"21",0.226,0.049,0.011
"22",0.258,0.045,0.012
"23",0.167,0.049,0.01
"24",0.19,0.053,0.011
"25",0.166,0.041,0.016
"26",0.271,0.038,0.012
"27",0.213,0.045,0.013
"28",0.223,0.057,0.015
"29",0.325,0.058,0.016
"30",0.177,0.05,0.012
"31",0.204,0.049,0.015
"32",0.192,0.042,0.012
"33",0.197,0.045,0.016
"34",0.177,0.035,0.014
"35",0.204,0.054,0.013
"36",0.203,0.049,0.013
"37",0.194,0.05,0.01
"38",0.188,0.043,0.013
"39",0.25,0.043,0.012
"40",0.154,0.053,0.012
"41",0.128,0.054,0.015
"42",0.169,0.057,0.015
"43",0.162,0.068,0.012
"44",0.212,0.053,0.014
"45",0.153,0.06,0.016
"46",0.216,0.05,0.013
"47",0.202,0.053,0.012
"48",0.18,0.044,0.013
"49",0.23,0.045,0.013
"50",0.27,0.061,0.01
"51",0.168,0.05,0.018
"52",0.207,0.056,0.016
"53",0.239,0.046,0.015
"54",0.201,0.048,0.012
"55",0.226,0.058,0.017
"56",0.121,0.045,0.014
"57",0.193,0.051,0.011
"58",0.144,0.053,0.015
"59",0.222,0.053,0.014
"60",0.173,0.056,0.011
"61",0.21,0.062,0.012
"62",0.219,0.055,0.016
"63",0.229,0.041,0.01
"64",0.212,0.054,0.014
"65",0.217,0.06,0.014
"66",0.213,0.055,0.015
"67",0.183,0.041,0.016
"68",0.22,0.056,0.013
"69",0.173,0.041,0.012
"70",0.217,0.05,0.013
"71",0.166,0.053,0.013
"72",0.204,0.052,0.015
"73",0.221,0.051,0.012
"74",0.17,0.037,0.012
"75",0.194,0.053,0.014
"76",0.217,0.052,0.014
"77",0.176,0.044,0.013
"78",0.243,0.058,0.011
"79",0.188,0.04,0.014
"80",0.183,0.043,0.015
"81",0.163,0.053,0.014
"82",0.248,0.054,0.016
"83",0.187,0.046,0.015
"84",0.196,0.048,0.013
"85",0.246,0.047,0.012
"86",0.172,0.055,0.012
"87",0.173,0.057,0.012
"88",0.206,0.039,0.011
"89",0.278,0.061,0.012
"90",0.221,0.043,0.016
"91",0.198,0.055,0.014
"92",0.167,0.043,0.013
"93",0.213,0.056,0.013
"94",0.226,0.038,0.015
"95",0.217,0.058,0.012
"96",0.195,0.045,0.012
"97",0.198,0.044,0.011
"98",0.208,0.052,0.014
"99",0.179,0.054,0.012
"100",0.236,0.046,0.015
