"","X100.1000","X100.10000"
"1",0.048,0.013
"2",0.048,0.013
"3",0.047,0.013
"4",0.048,0.013
"5",0.046,0.013
"6",0.049,0.013
"7",0.048,0.013
"8",0.047,0.013
"9",0.049,0.013
"10",0.049,0.012
"11",0.047,0.013
"12",0.049,0.013
"13",0.047,0.012
"14",0.05,0.013
"15",0.048,0.013
"16",0.049,0.013
"17",0.048,0.013
"18",0.05,0.013
"19",0.048,0.013
"20",0.049,0.013
"21",0.048,0.013
"22",0.045,0.013
"23",0.05,0.013
"24",0.048,0.013
"25",0.045,0.013
