"","TPR","FPR","method","Estimated_E","p","n"
"116",1,0.000224466891133558,"cv1se","E_1",100,10000
"117",1,0,"cv1se","E_1",100,10000
"118",1,0.000223363859727496,"cv1se","E_1",100,10000
"119",1,0.000224164985429276,"cv1se","E_1",100,10000
"120",1,0.00022456770716371,"cv1se","E_1",100,10000
"121",1,0.000673400673400673,"cv1se","E_1",100,10000
"122",1,0.000446727719454992,"cv1se","E_1",100,10000
"123",1,0,"cv1se","E_1",100,10000
"124",1,0.000448229493500672,"cv1se","E_1",100,10000
"125",1,0,"cv1se","E_1",100,10000
"126",1,0.000453309156844968,"cv1se","E_1",100,10000
"127",1,0.00114181319936058,"cv1se","E_1",100,10000
"128",1,0.000226039783001808,"cv1se","E_1",100,10000
"129",1,0.000444642063139173,"cv1se","E_1",100,10000
"130",1,0,"cv1se","E_1",100,10000
"131",1,0.000446428571428571,"cv1se","E_1",100,10000
"132",1,0.000225988700564972,"cv1se","E_1",100,10000
"133",1,0.000222321031569586,"cv1se","E_1",100,10000
"134",1,0.000448430493273543,"cv1se","E_1",100,10000
"135",1,0,"cv1se","E_1",100,10000
"136",1,0.000225073148773351,"cv1se","E_1",100,10000
"137",1,0.000225022502250225,"cv1se","E_1",100,10000
"138",1,0.000447727781508843,"cv1se","E_1",100,10000
"139",1,0,"cv1se","E_1",100,10000
"140",1,0.000224668613794653,"cv1se","E_1",100,10000
"141",1,0,"cv1se","E_1",100,10000
"142",1,0.000449034575662326,"cv1se","E_1",100,10000
"143",1,0.000670990829791993,"cv1se","E_1",100,10000
"144",1,0.000224265530387979,"cv1se","E_1",100,10000
"145",1,0.000448329970858552,"cv1se","E_1",100,10000
"146",1,0,"cv1se","E_1",100,10000
"147",1,0,"cv1se","E_1",100,10000
"148",1,0.000676132521974307,"cv1se","E_1",100,10000
"149",1,0.00022436616558223,"cv1se","E_1",100,10000
"150",1,0,"cv1se","E_1",100,10000
"151",1,0.11463687150838,"rmse","E_2",100,10000
"152",1,0.119346171070309,"rmse","E_2",100,10000
